Time,X_Mean,Y_Mean,Z_Mean,MI_Mean,SMA_Mean,X_Max,Y_Max,Z_Max,MI_Max,SMA_Max,X_Min,Y_Min,Z_Min,MI_Min,SMA_Min,MI_SE,SMA_SE,X_SE,Y_SE,Z_SE,Behavior
6/8/2017 10:15,0.514689128,-0.073906793,0.858262804,1.003527262,1.446858724,0.52734375,-0.06640625,0.871582031,1.018225758,1.464355469,0.5,-0.083007813,0.845214844,0.993438293,1.4296875,0.001110222,0.001656585,0.001242805,0.000709764,0.001267862,R
6/8/2017 10:15,0.515657552,-0.082389323,0.856941732,1.003558134,1.454988607,0.525390625,-0.070800781,0.866210938,1.013620364,1.476074219,0.500976563,-0.096191406,0.845214844,0.993403853,1.437988281,0.000668905,0.001203533,0.000844123,0.000854117,0.000717839,R
6/8/2017 10:15,0.513289388,-0.074991862,0.859505208,1.004042522,1.447786458,0.531738281,-0.031738281,0.869140625,1.019875655,1.501953125,0.498535156,-0.120605469,0.847167969,0.988303806,1.386230469,0.000800458,0.002242032,0.000849153,0.001978658,0.000672435,R
6/8/2017 10:15,0.526687372,-0.077644723,0.850569928,1.003571177,1.454902024,0.565429688,-0.057617188,0.869628906,1.018785811,1.485839844,0.506347656,-0.09765625,0.826171875,0.99049365,1.422851563,0.000735292,0.001471589,0.001653239,0.00099149,0.001057335,R
6/8/2017 10:15,0.524275716,-0.075203451,0.852547201,1.003727246,1.452026367,0.544433594,-0.059570313,0.871582031,1.019006002,1.483886719,0.504394531,-0.085449219,0.830566406,0.985589383,1.421875,0.000964714,0.001743131,0.001166107,0.000734074,0.000956317,R
6/8/2017 10:15,0.525374349,-0.080249023,0.851204427,1.003559453,1.456827799,0.541015625,-0.06640625,0.863769531,1.017692223,1.476074219,0.508789063,-0.091796875,0.829589844,0.989073545,1.437988281,0.000808233,0.001302219,0.001123926,0.000692854,0.001009915,R
6/8/2017 10:15,0.527823893,-0.077522786,0.849503581,1.003214,1.45485026,0.561035156,-0.062988281,0.865722656,1.019168716,1.491699219,0.5078125,-0.097167969,0.828125,0.986168333,1.426757813,0.001189463,0.001867,0.001371992,0.000813198,0.00135015,R
6/8/2017 10:15,0.523493532,-0.088587026,0.850858094,1.00297151,1.462938653,0.541992188,-0.069335938,0.862792969,1.015661855,1.485839844,0.50390625,-0.100585938,0.839355469,0.994526427,1.439941406,0.000731132,0.00141631,0.00104214,0.000735436,0.000749132,R
6/8/2017 10:15,0.526879883,-0.089095052,0.848575846,1.002883157,1.464550781,0.543945313,-0.077148438,0.863769531,1.016388357,1.486328125,0.504394531,-0.100585938,0.829589844,0.991718933,1.434082031,0.000888807,0.001393119,0.001274044,0.000645828,0.001161188,R
6/8/2017 10:15,0.531144206,-0.088639323,0.846386719,1.003240146,1.466170247,0.548828125,-0.079589844,0.862792969,1.020057513,1.494140625,0.509765625,-0.095214844,0.8203125,0.984350901,1.439453125,0.001253509,0.001810097,0.001331059,0.00043665,0.001462184,R
6/8/2017 10:15,0.529199219,-0.08815918,0.847908529,1.003444806,1.465266927,0.547363281,-0.072753906,0.863769531,1.017406837,1.486816406,0.510742188,-0.09765625,0.831542969,0.991667123,1.448242188,0.000967764,0.00143753,0.001180898,0.00067489,0.001126412,R
6/8/2017 10:15,0.530609631,-0.093525871,0.84579918,1.00292654,1.469934682,0.547363281,-0.081542969,0.864746094,1.0155237,1.490234375,0.5078125,-0.106445313,0.818359375,0.98704385,1.454101563,0.001011474,0.001316963,0.001262675,0.000730826,0.001445677,R
6/8/2017 10:16,0.525976563,-0.087231445,0.848917643,1.00253185,1.462125651,0.546386719,-0.073242188,0.865722656,1.015638733,1.486328125,0.504394531,-0.103027344,0.830566406,0.990370882,1.444335938,0.000903302,0.001324835,0.001158093,0.000776982,0.001176526,R
6/8/2017 10:16,0.526717122,-0.085986328,0.849576823,1.003340723,1.462280273,0.538574219,-0.076171875,0.861816406,1.014433411,1.483398438,0.509765625,-0.096191406,0.833007813,0.993064433,1.444335938,0.000841474,0.001304252,0.000979461,0.000591873,0.000936633,R
6/8/2017 10:16,0.527042643,-0.08758138,0.848640951,1.002857271,1.463264974,0.548339844,-0.078613281,0.861328125,1.016282324,1.483398438,0.508789063,-0.09765625,0.833984375,0.991408275,1.438476563,0.000757867,0.001310729,0.001039118,0.000597115,0.000780499,R
6/8/2017 10:16,0.527727971,-0.088018699,0.848864946,1.003464536,1.464611616,0.549804688,-0.081542969,0.861816406,1.018000363,1.495605469,0.504394531,-0.100585938,0.829589844,0.988943609,1.444824219,0.000909676,0.001430265,0.001231627,0.000521429,0.001061433,R
6/8/2017 10:16,0.529353841,-0.08733724,0.847753906,1.003303342,1.464444987,0.541015625,-0.078613281,0.858398438,1.015737439,1.490722656,0.51171875,-0.102050781,0.833007813,0.993318769,1.450195313,0.00077197,0.001136116,0.000927182,0.000636796,0.000903318,R
6/8/2017 10:16,0.529134115,-0.084724935,0.847290039,1.002588775,1.461149089,0.544433594,-0.055175781,0.859375,1.013652353,1.486328125,0.507324219,-0.114257813,0.837402344,0.992492749,1.427246094,0.000646725,0.001362824,0.000986489,0.00104018,0.00066435,R
6/8/2017 10:16,0.529889216,-0.093533876,0.846015305,1.002682799,1.469438397,0.54296875,-0.083984375,0.858398438,1.014516137,1.487792969,0.5078125,-0.105957031,0.833007813,0.992973077,1.448730469,0.000626985,0.001146166,0.001005557,0.000709657,0.000735221,R
6/8/2017 10:16,0.529549154,-0.084309896,0.848185221,1.003494619,1.462044271,0.544433594,-0.07421875,0.856933594,1.009708366,1.478027344,0.516113281,-0.095214844,0.839355469,0.995271111,1.442871094,0.000473373,0.000931658,0.000690582,0.000620208,0.000507661,R
6/8/2017 10:16,0.530916341,-0.089241536,0.845955404,1.002819713,1.466113281,0.578613281,-0.078613281,0.861328125,1.017518845,1.493164063,0.504394531,-0.105957031,0.826171875,0.992797784,1.448242188,0.000636794,0.001168422,0.001411909,0.000734613,0.000874196,R
6/8/2017 10:16,0.527001953,-0.086515299,0.848958333,1.003009123,1.462475586,0.546386719,-0.075195313,0.858398438,1.013500986,1.482910156,0.510742188,-0.103027344,0.834960938,0.992941382,1.444335938,0.000687057,0.00124811,0.000972713,0.000702475,0.000637874,R
6/8/2017 10:16,0.53145812,-0.096295466,0.844558466,1.00257886,1.472312052,0.55859375,-0.080566406,0.861328125,1.011440401,1.496582031,0.512207031,-0.109863281,0.826171875,0.989772712,1.456054688,0.000646769,0.00116488,0.001357349,0.000709436,0.000905316,R
6/8/2017 10:16,0.526082357,-0.088769531,0.849479167,1.0032053,1.464331055,0.54296875,-0.076171875,0.866210938,1.016685988,1.486328125,0.500976563,-0.107421875,0.829589844,0.991406952,1.440917969,0.000863344,0.001429776,0.001255667,0.000863834,0.001091328,R
6/8/2017 10:17,0.527807617,-0.092366536,0.847371419,1.002631953,1.467545573,0.541015625,-0.078613281,0.858398438,1.014472307,1.489746094,0.5078125,-0.104980469,0.833984375,0.990589206,1.449707031,0.000763229,0.001358176,0.001133501,0.000780126,0.000850832,R
6/8/2017 10:17,0.530558268,-0.093212891,0.845776367,1.002799964,1.469547526,0.544433594,-0.078613281,0.854003906,1.016054268,1.493652344,0.513183594,-0.110839844,0.833984375,0.991977099,1.450195313,0.000766564,0.001384378,0.000950511,0.000849835,0.000690614,R
6/8/2017 10:17,0.528872631,-0.094894659,0.846351498,1.002570798,1.470118788,0.545410156,-0.083984375,0.861816406,1.015106773,1.488769531,0.504394531,-0.105957031,0.832519531,0.99030889,1.450683594,0.000819738,0.001285644,0.001181214,0.000685125,0.000953321,R
6/8/2017 10:17,0.534578451,-0.096419271,0.842651367,1.002657427,1.473649089,0.552734375,-0.083984375,0.856933594,1.016309889,1.505371094,0.504394531,-0.118652344,0.820800781,0.987392463,1.452636719,0.000873765,0.00144461,0.001346573,0.000955963,0.001119462,R
6/8/2017 10:17,0.538370768,-0.088867188,0.841088867,1.002834423,1.468326823,0.568847656,-0.041015625,0.869140625,1.026024032,1.517578125,0.500976563,-0.144042969,0.810546875,0.9736835,1.393554688,0.001357565,0.002818483,0.001684205,0.002216325,0.001633872,R
6/8/2017 10:17,0.536328125,-0.090087891,0.842586263,1.002958217,1.469002279,0.573242188,-0.073242188,0.855957031,1.027505028,1.509765625,0.506347656,-0.105957031,0.824707031,0.986812541,1.441894531,0.001036501,0.001886523,0.001686599,0.000897311,0.000990946,R
6/8/2017 10:17,0.429095159,-0.126969134,0.862704918,1.032481603,1.456550973,0.969238281,0.220214844,1.92578125,1.933834731,2.123535156,-0.267089844,-0.491210938,0.261230469,0.49480722,0.725097656,0.025992376,0.032199138,0.035511606,0.016645072,0.034098614,R
